flightNumber;plane;dep_airport_code;arr_airport_code;delay
HTY134; AWH;AEI;JCU;17
HTY110; AWH;JCU;AEI;14
HTY112; AWH;AEI;JCU;15
HTY114; AWH;AEI;JCU;10
HTY138; AWH;AEI;JCU;4
HTY133; AWH;JCU;AEI;-5
HTY109; AWH;JCU;AEI;-6
HTY111; AWH;JCU;AEI;16
HTY113; AWH;JCU;AEI;42
HTY137; AWH;JCU;AEI;8
IBE0519; AIRBUS A319;LCG;MAD;42
TAP1085; ATR-42\/72;LCG;LIS;19
AEA7234; EMBRAER ERJ-195;LCG;MAD;12
IBE0513; AIRBUS A320;LCG;MAD;17
VLG1274; 32A;LCG;VLC;9
VLG1298; AIRBUS A320;LCG;SVQ;18
AEA7236; EMBRAER ERJ-195;LCG;MAD;24
IBE0523; AIRBUS A320;LCG;MAD;29
VLG1295; AIRBUS A320;LCG;BCN;1
VLG7104; AIRBUS A320;LCG;LHR;11
LZF440; ATR 42-300\/320;BIO;LCG;4
AEA7238; EMBRAER ERJ-195;LCG;MAD;19
VLG1303; 32A;ALC;BCN;22
AEA4025; ATR-72;ALC;PMI;8
RYR4019; BOEING 737-800 WINGLETS;ALC;CPH;18
RYR8287; BOEING 737-800 WINGLETS;ALC;BRS;8
BEL3772; AIRBUS A320;ALC;BRU;21
JAF5358; 7M8;ALC;BRU;17
EWG9533; 32A;ALC;DUS;13
IBK5414; BOEING 737-800 WINGLETS;ALC;DUS;12
ANE8391; BOMBARDIER CRJ-1000;ALC;MAD;17
JAF5842; BOEING 737-700 WINGLETS;ALC;CRL;7
EZY8660; AIRBUS A319;ALC;LGW;16
ENT520; BOEING 737-800 WINGLETS;ALC;BUD;23
TRA6144; BOEING 737-800 WINGLETS;ALC;AMS;22
TRA6626; BOEING 737-800 WINGLETS;ALC;EIN;22
TRA5052; BOEING 737-700 WINGLETS;ALC;RTM;16
VLG1392; 32A;ALC;MXP;-2
VLG1374; AIRBUS A320;ALC;AMS;0
IBE8213; CANADAIR CRJ-200;LEI;PMI;27
EZY8164; AIRBUS A320;LEI;LGW;31
IBE8595; BOMBARDIER CRJ-1000;LEI;MAD;21
RYR8352; BOEING 737-800 WINGLETS;LEI;STN;21
VLG1252; AIRBUS A320;LEI;BCN;-13
IBE8577; BOMBARDIER CRJ-1000;LEI;MAD;20
IBE8589; CANADAIR CRJ-200;LEI;MAD;14
IBE8601; BOMBARDIER CRJ-1000;LEI;MAD;21
GMI2381; BOEING 737-700 WINGLETS;LEI;DUS;24
RYR1259; BOEING 737-800 WINGLETS;LEI;CRL;0
IBE8932; CANADAIR CRJ-200;LEI;SVQ;28
IBE8603; BOMBARDIER CRJ-1000;LEI;MAD;0
LGL694; BOEING 737-800 WINGLETS;LEI;LUX;20
JAF6944; EMBRAER 190;LEI;BRU;11
IBE0514; AIRBUS A319;MAD;LCG;19
VLG1292; 32A;BCN;LCG;25
AEA7233; EMBRAER ERJ-195;MAD;LCG;14
IBE0512; AIRBUS A320;MAD;LCG;0
VLG1299; AIRBUS A320;SVQ;LCG;2
AEA7235; EMBRAER ERJ-195;MAD;LCG;5
IBE0524; AIRBUS A320;MAD;LCG;11
VLG1294; AIRBUS A320;BCN;LCG;2
ANE8390; BOMBARDIER CRJ-1000;MAD;ALC;14
VLG3935; AIRBUS A320;PMI;ALC;3
VLG1312; AIRBUS A320;BCN;ALC;24
IBE8931; CANADAIR CRJ-200;SVQ;LEI;17
IBE8594; BOMBARDIER CRJ-1000;MAD;LEI;18
VLG1251; AIRBUS A320;BCN;LEI;24
IBE8598; BOMBARDIER CRJ-1000;MAD;LEI;20
IBE8212; CANADAIR CRJ-200;PMI;LEI;12
IBE8592; BOMBARDIER CRJ-1000;MAD;LEI;9
IBE8588; CANADAIR CRJ-200;MAD;LEI;20
IBE8600; BOMBARDIER CRJ-1000;MAD;LEI;13
IBE8594; CANADAIR CRJ-900;MAD;LEI;0
IBE8759; BOMBARDIER CRJ-1000;LEN;BCN;16
RYR4421; BOEING 737-800 WINGLETS;VIT;CGN;-7
IBE8758; BOMBARDIER CRJ-1000;BCN;LEN;12
IBE8221; CANADAIR CRJ-200;RJL;MAD;18
IBE8224; CANADAIR CRJ-200;MAD;RJL;21
RYR1074; BOEING 737-800 WINGLETS;REU;EMA;30
RYR1115; BOEING 737-800 WINGLETS;REU;DUB;1
RYR2212; BOEING 737-800 WINGLETS;REU;EIN;14
RYR2212; BOEING 737-800 WINGLETS;REU;EIN;-4
IBE0519; AIRBUS A319;LCG;MAD;20
TAP1085; ATR-42\/72;LCG;LIS;6
AEA7234; EMBRAER ERJ-195;LCG;MAD;6
IBE0513; AIRBUS A320;LCG;MAD;27
VLG1274; 32A;LCG;VLC;29
VLG1298; AIRBUS A320;LCG;SVQ;12
